questionID,question,options,value,input_type,description,stepID,stepName,stepIcon,stepDescription
qxx1,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']",,Radio,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",1,Choose an ICF Template to Generate,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx2,Are in-home visits an option for this study?,"['Brazil', 'France', 'Germany', 'Italy']","['France', 'Italy']",Checkbox,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",1,Choose an ICF Template to Generate,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx3,Are in-home visits an option for this study?,"['Brazil', 'France', 'Germany', 'Italy']",,CheckboxChip,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",1,Choose an ICF Template to Generate,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx4,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']",React,RadioChip,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",1,Choose an ICF Template to Generate,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx5,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']",React,SegmentedControl,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",2,LSAM Expertise Questions,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx6,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']","Blood samples, study data and samples",CheckboxChip,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",2,LSAM Expertise Questions,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx7,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']",React,Radio,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",2,LSAM Expertise Questions,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx8,Are in-home visits an option for this study?,"['Brazil', 'France', 'Germany', 'Italy']","['France', 'Italy']",Checkbox,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",2,LSAM Expertise Questions,fluent:form-multiple-48-regular,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email."
qxx9,Are in-home visits an option for this study?,"['Brazil', 'France', 'Germany', 'Italy']","['Germany', 'Brazil']",CheckboxChip,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",3,Select Applicable DCT Vendor Information,lets-icons:form-light,"Use this button to save this information in your profile, after that you will be able"
qxx10,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']",React,RadioChip,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",3,Select Applicable DCT Vendor Information,lets-icons:form-light,"Use this button to save this information in your profile, after that you will be able"
qxx11,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']",React,SegmentedControl,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",3,Select Applicable DCT Vendor Information,lets-icons:form-light,"Use this button to save this information in your profile, after that you will be able"
qxx12,Are in-home visits an option for this study?,"['React', 'Vue', 'Python']","Blood samples, study data and samples",CheckboxChip,"Use this button to save this information in your profile, after that you will be able to access it any time and share it via email.",3,Select Applicable DCT Vendor Information,lets-icons:form-light,"Use this button to save this information in your profile, after that you will be able"
